2500 5000
885 1410 776513354
2250 215 714837609
761 1317 733011923
1364 370 766079576
2049 2112 713380486
1120 2286 -293851369
643 660 -123845128
581 2246 922477374
824 2076 91936106
470 1527 -239232022
48 499 890338244
16 1527 906369516
1011 2046 597341062
950 1831 -463574957
1313 1775 -53983680
1468 1750 970722411
2330 1597 83416657
1285 62 -351122072
1251 1884 -253335642
1780 764 -253958116
2192 2494 321107977
67 256 342788931
942 1947 727504448
760 1587 355643497
460 938 87753055
1692 525 -221895747
673 1421 -243851817
23 827 -75408273
1526 265 -284457091
1935 1669 -44740567
1027 2166 -431428440
1392 1977 380126258
864 1468 221927786
1367 712 449751748
1314 1727 951706867
1594 1326 964674340
183 1271 781473995
336 2264 304877227
822 2488 755362354
303 132 -349117101
2053 2035 448174573
233 1288 -78201521
2061 1630 558403110
384 2231 -73875803
1073 806 -76867350
33 330 176135656
79 1737 731146670
1713 1642 -299148849
1480 344 780589598
597 2207 640955704
1217 606 794314033
74 479 414798052
2150 2185 331619839
227 2020 -174815730
1909 2294 64537054
1393 1608 221032783
2076 787 566876238
1263 1575 324853241
2381 244 422431846
1938 1314 287218614
1777 2343 866085813
1797 1954 232213944
379 2043 451914908
1508 48 385680247
2116 2115 474947381
736 2040 184118970
993 870 -25645955
1464 1774 -141628443
982 659 457565361
2190 2258 78313137
141 1738 623070861
1784 1131 120137546
361 267 186915886
1257 2469 251784791
295 2179 -122452730
1456 1837 226575419
228 2145 -18664474
2335 1309 4554411
1940 769 -25388062
2204 882 704736166
1358 869 -453489518
2453 1466 -271771938
1316 971 256917640
1405 1872 291697342
613 631 65344550
525 2172 216760368
2083 954 412776653
2342 759 -61115706
543 2380 -39246612
1230 854 -191495597
1703 134 996528101
30 1925 991139299
1315 1096 -133567498
560 882 265569578
741 759 479277013
881 598 178960984
2344 10 868716531
1133 1106 499520619
339 346 -416260967
1158 2368 288255524
1886 1208 40200648
2230 26 929258599
860 2440 -213871009
493 571 286373928
2077 1500 683789210
1689 138 -24712425
1573 1034 950767620
2066 280 -226169373
1082 1615 -29338259
559 1422 719382090
312 2409 555021434
2027 756 -414134648
1499 1678 210312570
1629 1840 136662659
1339 1642 -232182176
2400 934 499699886
1241 532 606488384
769 1807 77159921
1871 1948 838022142
398 2378 -290938146
508 520 656993587
163 1147 167412450
1273 2116 968266905
1745 2154 -396159573
2394 1098 -125594884
777 2161 86211447
927 51 154232353
148 1243 -398335775
1912 450 480660885
436 2467 -384983479
526 1863 -260009870
2495 795 -452871155
609 120 -161661744
2426 2214 49621571
1528 81 -453278754
1874 602 -102514885
1944 2393 199229148
941 2259 424576440
924 593 -135005428
502 1571 -3865093
1936 926 117862844
1830 322 423986976
670 1114 821917928
2268 1273 -249409426
23 1098 868712752
790 197 -326614380
755 986 -447280213
883 2069 -26921293
887 197 814589029
1178 376 837627281
471 1015 177862784
6 1523 -9043855
2158 498 843467467
2018 2080 652258152
1753 2351 479695632
1153 1845 -247408699
2344 1329 899569190
333 1407 644797115
1432 2404 -368732738
455 2171 -166456330
831 1608 271089933
1396 1480 244356970
723 182 561692069
1381 2454 -286731705
1494 741 -477728896
703 519 532625544
697 1407 795919801
1342 693 -241657891
655 585 -384701885
648 863 753953599
1154 207 286314346
1181 2402 257280405
1349 800 612477061
242 1941 352391575
2454 2154 535388516
2420 2250 192765570
1849 1887 721917862
79 347 -293956123
999 2284 551580124
1949 356 -340271882
484 690 970474823
754 1899 39921361
757 468 -109704544
351 870 -241986072
617 306 599283285
2048 1661 735172645
1489 611 518313130
1492 40 791426590
229 1500 292300095
1308 276 918770642
2444 787 735908193
504 2485 532183698
1803 1218 391297730
503 537 -133580508
1560 679 -137007516
303 259 576739629
1899 2410 -410455866
363 662 584199336
2082 52 -211159905
613 659 -434252165
1966 1408 24093550
694 602 -441929992
1917 219 632469641
580 1839 824127600
126 1656 704467425
1995 1973 276105603
470 52 578855015
1520 2112 43610743
2065 1029 247407732
1645 820 -474480470
2485 1351 644912139
1979 1587 449026354
1014 2256 -8109235
789 1158 -369187337
1080 8 245857639
2016 1804 408195048
33 2050 749712117
1966 2187 586154689
748 1991 598293212
1604 2423 -123860451
1094 795 104647688
1083 1497 -122206071
1913 2223 -210714155
704 1309 888233320
1293 1266 -249309578
898 248 -170160679
1584 1697 167108783
1177 2196 952122275
2048 573 646155356
997 973 32014546
2040 1673 -92068748
1489 1911 217476424
603 1508 779447717
540 282 -161722935
2179 816 257099819
920 2443 -323730154
1453 1124 346434463
563 1638 -286382914
1863 503 414982947
1596 106 389123388
1027 730 598171909
399 1353 997471916
1492 665 620673595
1760 1918 50334792
1964 518 879128325
2431 2388 461158263
1652 1228 637122189
996 98 615061166
937 1235 -330728346
1100 1112 -291288346
729 2461 714662824
158 600 -7175345
2135 1750 -387567709
1046 245 617732707
1755 282 -121038450
907 471 76347366
2341 513 -160344602
1428 806 85715728
383 292 165234633
1405 967 154147857
829 1734 31909020
1137 1855 798902932
1428 584 95460544
1670 1430 410685153
553 479 222387797
293 1810 905098881
122 811 982503112
1231 293 -266926390
477 325 -187588863
112 1686 -176939258
813 967 340457515
1034 1262 -241272460
1288 1532 694629437
549 1433 935800389
2448 142 396061241
1549 2083 205627577
2071 1359 451434413
2249 2236 -393333878
1148 1490 69965266
386 71 260341169
82 1829 213194449
960 2135 -210148704
991 1092 89405455
1770 798 177800050
346 129 549441764
2047 1719 748206997
2333 2422 -379860974
1309 357 967518378
720 2207 -477260892
2124 1647 -171943686
1926 2274 662029278
1705 303 766285320
1152 1267 -269527307
154 1131 -165402633
532 2018 256174225
116 1074 -15144380
608 742 -427548372
1587 51 918117373
1278 428 -331026918
424 2149 -216340041
469 2263 -60255351
1199 1167 286510461
2342 42 404906190
2166 1361 -127109879
2045 2187 88863517
456 431 810845286
2199 1271 941944635
2253 723 681997540
1444 548 798187249
2154 337 105944559
1983 151 947592394
41 5 173255214
346 926 903682467
1325 968 753980723
1892 466 679769730
2238 652 691649404
1328 1462 -103570443
1411 626 499994712
637 1925 442513356
634 1352 -98285136
545 2071 357270513
1179 654 -387338666
31 599 -258236405
1179 2402 519717056
222 2303 -342944161
1631 1445 473411922
1904 767 390053505
113 773 554912526
1363 2145 61008384
1085 2378 851910904
2253 1621 617944409
80 468 105742010
553 599 834486400
88 1682 145139518
1927 466 479901780
2476 1452 354887786
594 16 126522928
1580 1236 248596584
1297 252 803392699
325 640 -170264445
1175 240 433863037
330 2388 411131079
1556 909 755505979
1973 58 747460334
143 752 -258547421
1498 1073 -176850010
1192 657 102830277
777 2476 -445839039
42 1004 517199581
717 2161 793487332
900 976 827668436
2285 2090 334878234
1809 782 303347990
2036 1171 916682663
1726 602 -89872755
1800 906 526987344
1460 1987 -307468512
1784 1423 542481152
536 647 328614555
2 1492 415410180
1157 852 184942115
508 1206 920923991
1729 752 255821184
250 2348 970318521
1914 895 666033560
2082 90 -376501448
2204 2187 -327773892
2306 9 392328085
1776 2314 888991864
2217 1242 241635683
1730 2359 15546414
1066 2062 735010905
15 86 -237322261
604 741 558397100
581 375 121132389
2061 276 305054532
2452 1540 722979980
2008 778 -358687668
328 253 706416715
1986 1240 -20768178
322 1958 667761464
2031 1374 192520993
21 733 937345026
2322 1259 934671528
2402 1706 783007698
2244 1322 580909777
174 832 -390092212
185 2208 -296564066
2409 2344 383713828
394 1411 804163375
1461 1447 -104952793
934 637 357862761
640 2258 -34672998
20 1732 -400761212
1402 2459 238983008
1501 2395 -72251354
1434 532 -450635836
784 1218 -419023137
1427 1793 438683755
1655 1916 -58813313
1404 1457 740796521
492 1184 328824616
889 2408 613365392
2363 714 22870802
1398 882 118572657
1224 431 366514905
511 492 -463871678
807 2192 559715392
271 479 192721487
88 1881 146263041
2347 175 170165077
964 2174 -310923524
1737 1097 -15720479
2283 2012 218994168
1431 1171 -235659145
2375 2182 208899067
1615 970 -58697419
1367 252 727859808
1085 2411 728728348
297 796 469965902
2253 1773 529691216
961 1378 459191825
689 2468 173394765
113 48 922869383
1067 922 -63485767
507 458 149637573
1363 1774 618810167
2495 1131 -346851099
872 1598 716578442
1414 2293 394263606
476 2022 -225094637
1442 570 873157776
451 924 365852911
659 2337 115386033
427 1820 499611263
1040 2217 -466513091
2352 1743 -208596938
2051 2393 953816610
357 2112 498434766
1477 388 745906544
1237 481 828577517
974 1605 225583266
2232 2105 659584966
635 299 508394078
1394 2438 706740271
82 391 23856051
2320 843 599654034
967 1737 -204427506
2070 786 54370963
1241 1100 370374575
1773 2495 586124990
536 155 -454340907
2099 1299 553437189
1291 1136 -189250350
2327 2372 20090658
306 852 -164816600
791 700 -479551871
354 156 705016106
2031 1039 818903548
2345 927 -72973540
1650 1266 873335013
431 1909 565533796
1827 132 -399711411
1125 541 778655676
955 1766 800465484
856 931 442130548
1887 1939 -216459607
1451 805 329729500
1151 600 897175855
454 884 -80998393
1766 2227 -222221336
1904 32 720577085
423 2226 -345758297
1900 107 552894427
435 1849 246831335
800 25 865064126
143 1980 -156158540
1468 1224 667785530
875 1067 82091053
2118 1684 564332220
2126 1063 938711758
728 497 138005706
1758 759 -212528329
1501 1964 138964124
315 2132 -393009307
2 198 356058985
631 2101 -66841602
1258 2001 171389496
1303 2274 278635321
441 743 -132802263
970 421 440318044
1323 398 -485991022
2319 578 721728695
847 597 549166127
2182 1822 -285187515
2050 1406 461513268
419 32 61130198
1158 2241 762215322
683 1694 710693307
1359 2065 197942071
449 2402 575947044
309 1696 -449591293
154 217 206538537
2265 1605 -434066604
227 2269 327140605
1126 146 957900114
174 219 -235729585
2108 436 433676975
1056 343 252365144
977 1182 886954539
1567 2119 -478692651
1885 1050 -257138108
1102 2404 616634506
839 2101 -451422051
1545 784 -151277713
2382 597 265159495
1061 1315 -377914512
1610 2458 -406500898
1591 42 693547154
781 995 139640208
2135 2237 688693147
1397 2222 440328792
1907 2134 457430167
2448 2439 243571479
288 1895 558874016
1465 1835 -381643374
987 901 299269400
529 1145 829579176
1037 1809 311809018
1496 1017 990928875
1510 226 -307464427
2225 312 -260345988
1031 456 -359664726
836 1416 219247308
177 840 953148193
1555 208 869121802
1078 2326 -385546139
2286 579 99444870
1945 388 -215802282
639 1412 -44906934
1329 2415 566683536
59 76 744868203
1292 842 -385103451
1634 1086 182942701
1699 665 -365728776
2055 1153 575606289
1647 1999 270918897
2455 1851 847649937
209 894 112623397
1589 1661 743207512
1964 1378 901163403
925 1378 -146773350
844 560 694576614
186 2112 -359204821
1654 2091 838944203
95 1118 66440299
603 655 873776683
345 2119 814246408
461 2163 639603091
1495 1266 962412758
427 1450 305254552
143 467 -351565529
827 228 419583224
821 1156 -110671719
944 2017 -206171170
2088 2296 337299148
2097 583 507321854
933 861 363613501
1029 1281 983883175
2482 1092 871917863
1827 465 292393848
1428 419 57991547
1184 1953 -121121527
1076 576 -141897738
1067 552 140315573
440 2014 89993226
852 2157 176832315
1040 2256 -362741716
1359 1386 703043550
2436 1721 -185859827
63 2490 -369828528
959 203 -290893015
370 936 75769324
1686 274 -60065862
428 1642 519610077
645 2013 -69462421
2046 1778 -97146982
2062 130 707643596
2153 2240 -3424804
